,train_netrmse,test_rmse,test_mape,train_rmse,val_rmse,train_mape,val_mape,train_diff,val_diff,DropoutProp,activationFunction,batchSize,epochSize,exec_time,hiddenLayers,hiddenNodes,l1Penalty,learningRate,loss,optimizer,standardizationType,status,timeWindow,useHoliday,useWeekday,weightInit
7626,0.118765775296,14910.7799606,0.176293075675,8199.75523434,11637.7018581,0.0775917672518,0.105607595612,-0.00481770043492,-0.0354138632425,0.0136043563288,sigmoid,29,29,139.622897863,1,295,5.1560962405e-08,0.00181330120706,11637.7018581,adam,zscore,ok,39,False,True,normal
10473,0.111575753534,14455.7885912,0.177629734073,7822.56416833,11637.7616631,0.0759684615604,0.109612603304,0.00534154129999,-0.0201016169438,0.0161527957067,relu,37,30,245.003317118,1,295,3.93369489051e-08,0.00131871882902,11637.7616631,adam,zscore,ok,60,False,True,normal
10176,0.11524787633,14956.6326175,0.176370393548,7939.80687705,11637.8239083,0.0746703115977,0.105052458729,-0.00512373627553,-0.0357739570614,0.0124266206063,sigmoid,34,30,164.425870895,1,295,6.56837531978e-08,0.00264011479563,11637.8239083,adam,zscore,ok,57,False,True,normal
5733,0.130087821941,14945.4064948,0.176917812246,8735.98775169,11637.913029,0.0825808196452,0.105570404218,0.000214862348094,-0.0303408625379,0.0203145445808,sigmoid,31,27,159.552475214,1,240,2.07781493731e-08,0.00170123417237,11637.913029,adam,zscore,ok,80,True,True,zero
8317,0.135309007768,14640.6485851,0.172933158988,8426.63245091,11637.9832396,0.0789190320391,0.104415836242,-0.00303622797257,-0.0304863628203,0.164168750692,sigmoid,33,29,162.153141022,1,300,1.06674230391e-07,0.00298885234526,11637.9832396,adam,zscore,ok,58,False,True,normal
6488,0.130041893844,14974.5675506,0.177462711523,8636.09465352,11637.9854543,0.0815152466059,0.105934912338,0.000261529136167,-0.0327701493497,0.0128890991324,sigmoid,36,31,171.917567968,1,295,9.19492106264e-08,0.00111970816039,11637.9854543,adam,zscore,ok,56,False,True,normal
8220,0.113862651128,14949.1829709,0.175131334007,7987.43275423,11638.0287034,0.0757408158903,0.105563586868,-0.00245210370788,-0.0346850373973,0.00957858255948,sigmoid,37,31,124.452211142,1,285,5.08455563859e-08,0.00289567349272,11638.0287034,adam,zscore,ok,36,False,True,normal
10320,0.124172500569,14810.0165843,0.176064849094,8487.81731662,11638.0855437,0.0803223700782,0.106513633759,0.00110715375386,-0.030719541429,0.0168413437229,sigmoid,35,30,196.44124794,1,295,2.36009976811e-08,0.00141966394589,11638.0855437,adam,zscore,ok,40,False,True,glorot_uniform
7457,0.110604868611,14840.0712123,0.176142289379,7860.19322761,11638.1744048,0.0749830422133,0.106475536529,0.00503665926962,-0.0275528055087,0.0162402028015,sigmoid,30,31,145.260030985,1,290,3.32212047279e-08,0.00223277999375,11638.1744048,adam,zscore,ok,38,False,True,lecun_uniform
5774,0.117274689905,14889.5208576,0.173295734401,7859.79379428,11638.221268,0.0743664776832,0.104191047265,-0.0026186679483,-0.0319368270273,0.00686758270207,sigmoid,40,31,196.126554966,1,300,1.37837510605e-07,0.0036600209854,11638.221268,adam,zscore,ok,58,False,True,normal
3990,0.112459522165,14825.2113059,0.17440184412,7697.93535926,11638.2882874,0.0736133301203,0.105230311017,-0.00268572269581,-0.0311569820011,0.0101445287313,sigmoid,44,33,141.80212903,1,250,4.67759029249e-08,0.00436060944411,11638.2882874,adam,zscore,ok,56,True,True,normal
436,0.113478522919,14677.1680708,0.176190976528,7986.91411541,11638.6918137,0.0766339982472,0.107453094258,0.000441701430733,-0.026879270432,0.00516972174878,sigmoid,63,36,187.401163101,1,120,3.35027089463e-08,0.00680434218018,11638.6918137,adam,zscore,ok,190,True,True,lecun_uniform
3638,0.00381642488462,14638.1464991,0.176143971758,9427.01579785,11638.7794165,0.0892559128812,0.107925109764,0.0127980103659,-0.0223552857324,0.01400484263,sigmoid,9,20,166.866147995,1,255,1.87297732532e-08,0.00189922157179,11638.7794165,adam,minmax,ok,29,True,True,normal
7865,0.118723095213,14860.1187185,0.174691415857,8129.70675316,11638.8267557,0.0767649681412,0.103995630992,-0.00430550534125,-0.0332617773218,0.0123455450502,sigmoid,33,29,170.963263988,1,300,1.20189288692e-07,0.00228208311872,11638.8267557,adam,zscore,ok,50,False,True,normal
2870,0.133902686489,14841.1787422,0.175952069876,8930.12096053,11639.0310541,0.0845932062954,0.106112015593,0.00308033203003,-0.0296971275143,0.0113541820159,sigmoid,44,27,114.708884001,1,250,9.59263132306e-08,0.00135896199324,11639.0310541,adam,zscore,ok,24,True,True,normal
4915,0.118021851534,15002.3725445,0.178095129933,8286.55602922,11639.0344571,0.0791284411861,0.106423019583,0.00193791405006,-0.0313586985338,0.00477974795682,sigmoid,43,29,98.0486078262,1,295,3.60805179461e-08,0.00308316488655,11639.0344571,adam,zscore,ok,24,False,True,normal
7501,0.114539043645,14895.8413424,0.17539138644,7951.74064489,11639.1916917,0.0749295234383,0.104878816989,-0.0051669607665,-0.0350567880482,0.0169638447137,sigmoid,26,30,142.902228117,1,295,4.12592933223e-08,0.00210912486002,11639.1916917,adam,zscore,ok,41,False,True,normal
5120,0.109055095511,14916.0995014,0.17672007056,7729.79636563,11639.2427624,0.0744819946498,0.10602209399,0.00187723778191,-0.0288067684917,0.00605387084638,sigmoid,56,30,117.416512012,1,240,5.55625293566e-08,0.0036348732647,11639.2427624,adam,zscore,ok,56,True,True,lecun_uniform
624,0.142506912002,14605.763901,0.176705073032,9551.33733271,11639.4477793,0.0888074662582,0.107766320934,0.0149786272175,-0.017604375087,0.00938034125591,sigmoid,61,37,56.5259649754,1,75,1.21914723486e-07,0.00487028530126,11639.4477793,adam,zscore,ok,31,True,True,zero
9374,0.117872784846,14765.6480618,0.173147873328,7917.17291341,11639.7159823,0.0758258348449,0.104959127361,-0.00247071078087,-0.0304048545914,0.026339818682,sigmoid,33,31,160.875501871,1,300,2.85494357899e-08,0.00290874161477,11639.7159823,adam,zscore,ok,42,False,True,normal
7655,0.114484063645,14933.9368152,0.17528776131,7942.02142887,11639.7211573,0.0749167302691,0.105086799265,-0.00467494541845,-0.0342346884076,0.0138348766849,sigmoid,36,30,131.286177874,1,295,6.10841495506e-08,0.00267741899065,11639.7211573,adam,zscore,ok,38,False,True,normal
2833,0.111793127665,14569.1170989,0.178360429528,7728.48802842,11639.7463232,0.0752737414837,0.109214617643,-0.000156383924333,-0.0238133871506,0.0281308187134,relu,37,28,154.944719791,1,270,3.58153846005e-08,0.00175354461081,11639.7463232,adam,zscore,ok,64,True,True,normal
7895,0.122135274567,15046.5103766,0.176776981283,8259.98316229,11639.9247877,0.0785131528372,0.10549658478,-0.00396607574402,-0.0350209228589,0.0104986375867,sigmoid,36,29,142.53968811,1,295,1.21972129957e-07,0.00194651844335,11639.9247877,adam,zscore,ok,49,False,True,normal
10519,0.121826267551,15052.2357123,0.177126418412,8359.14998404,11639.9282278,0.079462998758,0.105469856961,-0.00356942993512,-0.0350558813203,0.0102483889234,sigmoid,36,29,189.891884804,1,295,1.88477244482e-08,0.00161256823819,11639.9282278,adam,zscore,ok,41,False,True,normal
2396,0.115060056355,14860.0758313,0.175555476464,7989.99737025,11639.9593477,0.0764594956986,0.104726117536,-0.00383728681612,-0.0329895794016,0.00164339998719,sigmoid,18,34,213.348890066,1,285,9.38956463439e-08,0.0014203416598,11639.9593477,adam,zscore,ok,45,True,True,normal
4062,0.111451070937,14935.3915098,0.174270728883,8102.86329697,11640.0090109,0.0762910503772,0.107551003122,0.00988485124127,-0.0213854381316,0.0103405370542,sigmoid,31,33,138.561537027,1,230,4.64734307502e-08,0.00689934766231,11640.0090109,adam,zscore,ok,54,True,True,normal
