,DropoutProp,activationFunction,batchSize,earlyStopping,epochSize,exec_time,hiddenLayers,hiddenNodes,indexID,l1Penalty,learningRate,noFillZero,optimizer,standardizationType,stationIDs,test_mape,test_rmse,timeWindow,train_mape,train_rmse,useHoliday,useWeekday,val_mape,val_rmse,weightInit
9,0.001,relu,1,True,15,824.457682133,2,12,9,1e-06,0.001,True,adam,zscore,13,0.192821067201,16220.488328,168,0.103998462774,11137.2906045,True,True,0.122427548256,13471.4022023,lecun_uniform
151,0.001,relu,1,True,15,1715.08036113,2,154,151,1e-06,0.001,True,adam,zscore,13,0.18848725403,15904.0710002,168,0.0984651384918,10639.5382767,True,True,0.120938085039,13474.4632075,lecun_uniform
977,0.001,relu,1,True,15,380.159770966,2,80,977,1e-06,0.001,True,adam,zscore,13,0.18746980456,15991.9642669,14,0.0935149194139,10237.2680847,True,True,0.118668609173,13475.0644135,lecun_uniform
290,0.001,relu,1,True,15,3084.70674205,2,293,290,1e-06,0.001,True,adam,zscore,13,0.189085208972,15861.9315828,168,0.0964855297227,10340.1990948,True,True,0.121561306114,13476.5824609,lecun_uniform
1085,0.001,relu,1,True,15,1002.60673904,2,80,1085,1e-06,0.001,True,adam,zscore,13,0.189772282573,15827.8077279,122,0.0948016095019,10207.8681998,True,True,0.121328454765,13486.6715852,lecun_uniform
682,0.0594,relu,1,True,15,1145.04369593,2,80,682,1e-06,0.001,True,adam,zscore,13,0.18861156267,15665.6574942,168,0.0962432244013,10327.8275426,True,True,0.121998481357,13489.0933847,lecun_uniform
119,0.001,relu,1,True,15,1432.49842596,2,122,119,1e-06,0.001,True,adam,zscore,13,0.186533992479,15751.1014987,168,0.0938543570826,10090.9947848,True,True,0.12017808193,13489.7468922,lecun_uniform
994,0.001,relu,1,True,15,429.485410929,2,80,994,1e-06,0.001,True,adam,zscore,13,0.188755215561,16116.2398374,31,0.0929424477764,10132.9698107,True,True,0.118960011234,13493.5445148,lecun_uniform
20,0.001,relu,1,True,15,919.385591984,2,23,20,1e-06,0.001,True,adam,zscore,13,0.188664503644,15889.0380742,168,0.0977110916315,10556.0584018,True,True,0.119774193502,13493.6277904,lecun_uniform
258,0.001,relu,1,True,15,3008.58981919,2,261,258,1e-06,0.001,True,adam,zscore,13,0.188254952783,15728.7282474,168,0.0977119019562,10555.7592445,True,True,0.121787339228,13497.3376162,lecun_uniform
